sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"<p> Porter spent the next fifteen years in Texas , the setting for about forty of his early stories , first in the rough-and-tumble of the sheep ranch , then briefly once again in the profession he detested , pharmacy .",sheep,"compound(ranch-28, sheep-27) ",NN,,,,,,,,,,,,,,,ranch,,,,,,,,,,,,,singular,,[],unknown,unknown
Meat becomes infected because cows and sheep graze in pastures that have been contaminated by infected cats .,sheep,"conj:and(cows-5, sheep-7) nsubj(graze-8, sheep-7) ",NN,,VBP,graze,graze,,,,,,,,,and,cows,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
Its core holdings are in London 's Mayfair and Belgravia but spread as far as North American shopping centers and an Australian sheep station .,sheep,"compound(station-24, sheep-23) ",NN,,,,,,,,,,,,,,,station,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> For keepers of the citadels of faith , it is these returning sheep -- all 18 million -- who offer the greatest challenge .",sheep,"nmod:for(sheep-14, keepers-3) nsubj(sheep-14, it-10) cop(sheep-14, is-11) det(sheep-14, these-12) amod(sheep-14, returning-13) dep(sheep-14, million-18) ref(sheep-14, who-20) acl:relcl(sheep-14, offer-21) root(ROOT-0, sheep-14) nsubj(offer-21, sheep-14) ",NN,,VBP,offer,offer,,,,for keepers,for,,keepers,these,,,,returning,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"Each house had a private plot of land for growing fruits and vegetables , and in many yards stood a shed for cows , sheep or pigs .",sheep,"nmod:for(stood-19, sheep-25) conj:or(cows-23, sheep-25) ",NN,,,,,,,,for stood,for,stood,,,or,cows,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Using odd camera angles and a "" Peaks "" -creepy soundtrack , it blends images of tattoos whips , hideous masks , women wearing headdresses shaped like buttocks and men copulating with stuffed sheep ( what , no dwarfs ? )",sheep,"case(sheep-35, with-33) amod(sheep-35, stuffed-34) dep(sheep-35, what-37) nmod:with(copulating-32, sheep-35) ",NN,,,,,,,,with copulating,with,copulating,,,,,,stuffed,,,,,,,,,,,,singular,,[],unknown,unknown
It reminds me of a sheep 's nose with a cold .,sheep,"det(sheep-6, a-5) case(sheep-6, 's-7) nmod:poss(nose-8, sheep-6) ",NN,,,,,,,,,,,,a,,,,,nose,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"It is pygmy forests and stunted spruce , giant herds of caribou , domesticated reindeer , plus moose , Dall sheep , wolf , Arctic fox , bear , and ptarmigan .",sheep,"compound(sheep-21, Dall-20) nmod:of(herds-10, sheep-21) conj:and(caribou-12, sheep-21) ",NNP,,,,,,,,of herds,of,herds,,,and,caribou,dall,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Several hundred miles south , in Glacier Bay , well below the Arctic Circle , Dall sheep stand on seemingly perpendicular walls .",sheep,"compound(sheep-18, Dall-17) nsubj(stand-19, sheep-18) ",NNP,,VBP,stand,stand,,,,,,,,,,,dall,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"Using chicken eggs or sheep 's blood rather than horse serum -- the traditional source of antivenins-and high-tech purification techniques , each team hopes to enter and succeed in the small but potentially lucrative market for a better U.S. antivenin .",sheep,"case(sheep-5, 's-6) nmod:poss(blood-7, sheep-5) ",NN,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,singular,,[],unknown,unknown
"<p> In part to minimize such reactions , Therapeutic Antibodies researchers make antivenin by injecting venoms into sheep rather than horses . """,sheep,"case(sheep-18, into-17) cc(sheep-18, rather-19) conj:negcc(sheep-18, horses-21) nmod:into(injecting-15, sheep-18) ",NN,,,,,,,,into injecting,into,injecting,,,negcc,horses,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> In addition , says Ned B. Egen , a University of Arizona herpetologist helping to develop the sheep antivenin , the team uses an enzyme called papain to partially digest the purified antibodies .",sheep,"compound(antivenin-20, sheep-19) ",NN,,VB,,,develop,develop,,,,,,,,,antivenin,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> That 's a real advantage of using chickens , concedes Egen , who is working on the competing system in sheep . """,sheep,"case(sheep-22, in-21) nmod:in(system-20, sheep-22) ",NN,,,,,,,,in system,in,system,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Prior to that , white settlers had smothered fire 's natural role in the Sierran forests by moving in huge herds of sheep for grazing .",sheep,"case(sheep-23, of-22) nmod:for(sheep-23, grazing-25) nmod:of(herds-21, sheep-23) ",NN,,,,,,,,"for grazing, of herds","for, of",herds,grazing,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Before sheep tromped through the Sierra , low-intensity fires swept across much of the middle-elevation forest every decade or two , cleaning out dead wood These frequent burns , usually sparked by lightning or Native Americans , kept the forest open and airy But the sheep grazed away forest grasses and packed down pine needles on the ground .",sheep,"nsubj(tromped-4, sheep-3) ",NN,,VBD,tromped,tromped,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> Before sheep tromped through the Sierra , low-intensity fires swept across much of the middle-elevation forest every decade or two , cleaning out dead wood These frequent burns , usually sparked by lightning or Native Americans , kept the forest open and airy But the sheep grazed away forest grasses and packed down pine needles on the ground .",sheep,"det(sheep-47, the-46) nsubj(grazed-48, sheep-47) nsubj(packed-53, sheep-47) ",NN,,VBD,grazed,graze,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"I was raised as a sheepherder , and you do so much of it from day to day -- you have to learn to recognize the footprint of each sheep in your flock . """,sheep,"case(sheep-30, of-28) det(sheep-30, each-29) nmod:in(sheep-30, flock-33) nmod:of(footprint-27, sheep-30) ",NN,,,,,,,,"in flock, of footprint","in, of",footprint,flock,each,,,,,,,,,,,,,,each,other,singular,,['O-DEN'],countable,unknown
"<p> In retrospect it sounds insane : Australia , with its strange , fragile biota , has suffered from every introduced species -- rabbits , starlings , English sparrows , sheep , white men and sugarcane , to name a few .",sheep,"dep(species-22, sheep-31) conj:and(rabbits-24, sheep-31) ",NN,,,,,,,,,,,,,and,rabbits,,,,,,,,,,,,,,singular,,[],unknown,unknown
"As the first local settler he was looked up to by most , and apparently the opening of the Erie Canal made him distinctly prosperous , for he raised , as well as wheat , Arabian horses , Berkshire pigs and Merino sheep .",sheep,"compound(sheep-43, Merino-42) conj:and(raised-29, sheep-43) conj:and(wheat-34, sheep-43) ",NNP,,,,,,,,,,,,,"and, and","raised, wheat",merino,,,,,,,,,,,,,singular,,[],unknown,unknown
Shepherds are hard put to find good graze for their sheep and goats .,sheep,"case(sheep-11, for-9) nmod:poss(sheep-11, their-10) cc(sheep-11, and-12) conj:and(sheep-11, goats-13) nmod:for(find-6, sheep-11) ",NN,,,,,,,,for find,for,find,,,and,goats,,,,their,,,,,,,,,,singular,,[],unknown,unknown
"Using a canopy 7 feet in diameter , they dropped a sheep from a tower .",sheep,"det(sheep-12, a-11) dobj(dropped-10, sheep-12) ",NN,,VBD,,,dropped,drop,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"The sheep survived , as have most of the hundreds of cats since flung by children from hayloft windows on experimental parachutes made of sheets ; as well as several dogs , at least one fox and various kinds of livestock that lived through wartime drops only to be eaten upon arrival at the ground ; and an assortment of monkeys and bears used after World War II to test military ejection seats .",sheep,"det(sheep-2, The-1) nsubj(survived-3, sheep-2) ",NN,,VBD,survived,survive,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
Turning to Damascus or Teheran is akin to putting the wolves in charge of the sheep .,sheep,"case(sheep-16, of-14) det(sheep-16, the-15) nmod:of(charge-13, sheep-16) ",NN,,,,,,,,of charge,of,charge,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Canada has offered $150 million in new credit to buy food , the European Community is discussing an additional $2 billion in credit and the Australians are offering millions of surplus sheep .",sheep,"case(sheep-34, of-32) compound(sheep-34, surplus-33) nmod:of(millions-31, sheep-34) ",NN,,,,,,,,of millions,of,millions,,,,,surplus,,,,,,,,,,,,,singular,,[],unknown,unknown
"The troops wonder if they can ever leave , Jacques Langevin-Sygma <p> By Carla Anne Robbins , Kenneth T. Walsh , Steven V. Roberts , Bruce B. Auster and Richard Z. Chesnoff <p> 
##2022584 Section : U.S. News Environmentalists take on ' welfare cowboys ' <p> The rancher ( with a few honorable exceptions ) is a man who strings barbed wire all over the range , drills wells and bulldozes stock ponds ; drives off elk and antelope and bighorn sheep , poisons coyotes and prairie dogs , shoots eagles , bears and cougars on sight ; supplants the native grasses with tumbleweed , snakeweed , povertyweed , ... anthills , mud , dust and flies .",sheep,"compound(sheep-83, bighorn-82) appos(sheep-83, coyotes-86) appos(sheep-83, dogs-89) nsubj(shoots-91, sheep-83) ",NN,,VBZ,shoots,shoot,,,,,,,,,,,bighorn,,,,,,"modified, coyotes, modified, dogs",,"coyotes, dogs",,,,,singular,singular,[],unknown,unknown
"We need to ferret out the bad operators , and we will , ' says Wyoming sheep rancher Jim Magagna , former president of the Public Lands Council .",sheep,"compound(Magagna-20, sheep-17) ",NN,,VBZ,says,say,,,,,,,,,,,magagna,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"Returning the range to its natural condition , they insist , means reducing the 7.5 million cattle and 2.8 million sheep grazed by about 30,000 permit holders in 11 Western states .",sheep,"nummod(sheep-21, million-20) conj:and(cattle-17, sheep-21) nsubj(grazed-22, sheep-21) ",NN,,VBD,grazed,graze,,,,,,,,,and,cattle,,,,,million,,,,,,,million,other,singular,ambiguous,['O-DEN'],countable,unknown
They currently pay $1.81 a month for each cow - or every five head of sheep - on the public range .,sheep,"case(sheep-17, of-16) nmod:of(head-15, sheep-17) ",NN,,,,,,,,of head,of,head,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"According to recent work by two Soviet linguists , Thomas Gamkrelidze and Vyacheslav Ivanov , words for domesticated animals such as cows , sheep and dogs as well as plants such as barley , flax and wheat suggest that the people who spoke proto-Indo-European were farmers .",sheep,"nmod:such_as(animals-19, sheep-24) conj:and(cows-22, sheep-24) ",NN,,,,,,,,such_as animals,such_as,animals,,,and,cows,,,,,,,,,,,,,,singular,,[],unknown,unknown
But it would be even worse if Iraq were to control the rich oil fields of Saudi Arabia <p> It was n't many years ago when the endless vista from the Shedgum Plateau in Saudi Arabia revealed only traces of nomadic Bedouin tribesmen roaming the desert with their camels and sheep .,sheep,"nmod:with(roaming-44, sheep-51) conj:and(camels-49, sheep-51) ",NN,,,,,,,,with roaming,with,roaming,,,and,camels,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> The provisions included onions and garlic , which keep for a month at sea , and goats , sheep , pigs , and hens in pens on deck where they waited their turn to serve .",sheep,"conj:and(month-13, sheep-20) conj:and(goats-18, sheep-20) ",NN,,,,,,,,,,,,,"and, and","month, goats",,,,,,,,,,,,,,singular,,[],unknown,unknown
"To make a fund family responsible for each of its funds , including the black sheep , Kanon Bloch Carre added up all the individual fund scores and divided the result by the number of funds to get an overall average score .",sheep,"case(sheep-16, including-13) det(sheep-16, the-14) amod(sheep-16, black-15) nmod:including(each-8, sheep-16) ",NN,,,,,,,,including each,including,each,,the,,,,black,,,,,,,,,,,,singular,,[],unknown,unknown
"In one instance , I cleared between the trunks of several 150-year-old maple trees to open a view into a sheep meadow ; at another point , I cut a window in saplings to frame a view of a seasonal freshet .",sheep,"compound(meadow-22, sheep-21) ",NN,,,,,,,,,,,,,,,meadow,,,,,,,,,,,,,singular,,[],unknown,unknown
"As I turned down a dusty lane and passed a pen of dozing sheep and goats , a shutter sprang open , and I was greeted by a sleepy Bedouin with a strong , square beard and a dark , heavily lined face .",sheep,"case(sheep-14, of-12) amod(sheep-14, dozing-13) cc(sheep-14, and-15) conj:and(sheep-14, goats-16) nmod:of(pen-11, sheep-14) ",NN,,,,,,,,of pen,of,pen,,,and,goats,,dozing,,,,,,,,,,,,singular,,[],unknown,unknown
"A sheep rancher , who heard an explosion at the time , went out the next morning to find an area of his ranch covered with strange wreckage .",sheep,"compound(rancher-3, sheep-2) ",NN,,VBD,heard,hear,,,,,,,,,,,rancher,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> "" And I know it would be really nice , as I 've said to Tanya , to go and get on the fifth floor of some damn apartment house and quit this getting up at night with the sheep . """,sheep,"case(sheep-41, with-39) det(sheep-41, the-40) nmod:with(getting-35, sheep-41) ",NN,,,,,,,,with getting,with,getting,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> I soon discovered that cows and sheep had already beat me to the best spots .,sheep,"conj:and(cows-6, sheep-8) nsubj(beat-11, sheep-8) ",NN,,VBN,beat,beat,,,,,,,,,and,cows,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"In the past , agencies have had to prove ( often in court , beyond a shadow of a doubt ) that a livestock operator was damaging the public lands before a single cow or sheep could be removed .",sheep,"conj:or(cow-34, sheep-36) nsubjpass(removed-39, sheep-36) ",NN,,VBN,removed,remove,,,,,,,,,or,cow,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
<p> This is not just a dispute over cows and sheep .,sheep,"nmod:over(dispute-7, sheep-11) conj:and(cows-9, sheep-11) ",NN,,,,,,,,over dispute,over,dispute,,,and,cows,,,,,,,,,,,,,,singular,,[],unknown,unknown
"He spent his youth yodeling from peak to peak while herding sheep across the Bohemiann Alps , and the airiness of those years never left him .",sheep,"nmod:across(sheep-12, Alps-16) cc(sheep-12, and-18) conj:and(sheep-12, airiness-20) dobj(herding-11, sheep-12) ",NN,,VBG,,,herding,herd,,across Alps,across,,alps,,and,airiness,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"One look at Yosemite Valley 's car-choked campgrounds in midsummer and you may be convinced that the only true camping experience can be had deep in Alaska 's Brooks Range , where your only competition for a choice campsite is a flock of Dall sheep .",sheep,"case(sheep-45, of-43) compound(sheep-45, Dall-44) nmod:of(flock-42, sheep-45) ",NN,,,,,,,,of flock,of,flock,,,,,dall,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> The next day we pull over during the morning float to explore the last village en route , Aktash , a sheep and farming collective of about a thousand people .",sheep,"det(sheep-23, a-22) nmod:en(explore-13, sheep-23) conj:and(route-18, sheep-23) ",NN,,,,,,,,en explore,en,explore,,a,and,route,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"During the middle of the century , loggers clearcut broad swaths of koa and ohia forests at the behest of mainlanders , leaving feral pigs , goats , sheep , and cattle to forage unchecked through the remnants .",sheep,"dobj(leaving-23, sheep-29) conj:and(pigs-25, sheep-29) ",NN,,VBG,,,leaving,leave,,,,,,,and,pigs,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"There are grizzlies and polar bears , wolves , wolverines , arctic foxes , arctic ground squirrels , thousands of Dall sheep dotting the mountain slopes like tufts of cotton , hundreds of musk oxen moving around like big hairy sofas .",sheep,"case(sheep-22, of-20) compound(sheep-22, Dall-21) acl(sheep-22, dotting-23) nmod:of(thousands-19, sheep-22) ",NNP,,,,,,,,of thousands,of,thousands,,,,,dall,,,,,,,,,,,,,singular,,[],unknown,unknown
"Elias , poaching and overhunting of caribou and Dall sheep populations present a problem .",sheep,"compound(populations-11, sheep-10) ",NN,,,,,,,,,,,,,,,populations,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> PHOTO ( COLOR ) : Pancake cactus , Mojave Dessert , California <p> PHOTO ( COLOR ) : BLM creatures great and small , top to bottom : Harris hawk , desert bighorn sheep , and a pocket mouse .",sheep,"compound(sheep-35, desert-33) compound(sheep-35, bighorn-34) dep(PHOTO-2, sheep-35) conj:and(hawk-31, sheep-35) ",NN,,,,,,,,,,,,,and,hawk,"desert, bighorn",,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> PHOTO ( COLOR ) : This page , clockwise from top left : Northern flicker , red-tailed hawk , desert bighorn sheep in a stand of saguaro , Mexican beaded lizard , Arizona coral snake , desert rhubarb .",sheep,"compound(sheep-23, desert-21) compound(sheep-23, bighorn-22) nmod:in(sheep-23, stand-26) appos(flicker-16, sheep-23) ",NN,,,,,,,,in stand,in,,stand,,,,"desert, bighorn",,,,,,"modifier, flicker",flicker,,,,,,singular,,[],unknown,unknown
